GAME,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1,10/16/18,W,37,32,11,20,55,5,9,55.6,5,5,100,0,8,8,9,1,0,3,4,15
2,10/19/18,W,37,31,13,24,54.2,5,9,55.6,0,1,0,1,3,4,8,2,0,4,2,-3
3,10/21/18,L,39,30,10,23,43.5,6,16,37.5,4,4,100,0,4,4,6,0,0,2,4,3
4,10/22/18,W,30,29,11,18,61.1,6,13,46.2,1,2,50,0,4,4,8,2,0,3,0,18
5,10/24/18,W,32,51,15,24,62.5,11,16,68.8,10,10,100,0,4,4,3,0,1,2,1,19
6,10/26/18,W,33,29,10,18,55.6,6,11,54.5,3,3,100,1,3,4,2,1,0,3,2,3
7,10/28/18,W,36,35,11,26,42.3,7,15,46.7,6,7,85.7,1,6,7,3,1,0,2,1,11
8,10/29/18,W,25,23,7,9,77.8,2,4,50,7,7,100,0,8,8,5,2,0,1,3,27
9,10/31/18,W,37,37,12,20,60,7,11,63.6,6,7,85.7,0,2,2,9,2,0,5,3,19
10,11/2/18,W,35,28,11,24,45.8,4,12,33.3,2,2,100,1,8,9,7,0,2,4,3,6
11,11/5/18,W,32,19,6,17,35.3,3,6,50,4,4,100,2,3,5,7,1,1,5,1,26
12,11/8/18,L,26,10,5,14,35.7,0,4,0,0,0,0,0,1,1,6,0,0,2,4,-26
13,12/1/18,L,36,27,10,21,47.6,3,9,33.3,4,4,100,0,5,5,3,2,0,7,4,-8
14,12/3/18,W,29,30,10,17,58.8,6,10,60,4,4,100,0,3,3,2,1,1,3,4,22
15,12/5/18,W,34,42,11,20,55,9,14,64.3,11,12,91.7,0,9,9,7,1,0,2,1,22
16,12/7/18,W,36,20,7,17,41.2,4,9,44.4,2,2,100,0,4,4,8,1,0,3,3,9
17,12/10/18,W,36,38,12,23,52.2,7,14,50,7,7,100,1,6,7,6,2,1,2,1,9
18,12/12/18,L,33,10,3,12,25,2,8,25,2,2,100,1,2,3,3,1,0,4,1,-16
19,12/14/18,W,36,35,11,23,47.8,5,14,35.7,8,8,100,1,6,7,6,3,0,1,2,18
20,12/17/18,W,35,20,6,16,37.5,3,9,33.3,5,5,100,0,7,7,1,2,0,3,3,19
21,12/19/18,L,37,32,12,21,57.1,5,9,55.6,3,3,100,1,2,3,3,3,1,4,4,-6
22,12/22/18,W,39,22,7,22,31.8,6,17,35.3,2,3,66.7,2,3,5,5,2,0,3,5,-3
23,12/23/18,W,36,42,12,22,54.5,6,15,40,12,13,92.3,3,3,6,2,1,0,0,4,8
24,12/25/18,L,37,15,5,17,29.4,2,8,25,3,3,100,0,2,2,5,1,0,1,5,-9
25,12/27/18,L,42,29,11,26,42.3,6,15,40,1,3,33.3,1,4,5,7,2,2,7,1,-3
26,12/29/18,W,36,25,6,15,40,2,8,25,11,14,78.6,1,4,5,8,2,1,2,1,10
27,12/31/18,W,32,34,11,17,64.7,5,9,55.6,7,7,100,1,8,9,4,1,0,3,2,15
28,1/3/19,L,40,35,14,27,51.9,5,15,33.3,2,3,66.7,0,3,3,6,0,0,5,4,3
29,1/5/19,W,38,42,14,26,53.8,10,20,50,4,4,100,0,5,5,2,2,0,6,2,12
30,1/8/19,W,32,14,5,19,26.3,3,12,25,1,1,100,1,6,7,14,1,0,1,3,36
31,1/11/19,W,27,28,10,16,62.5,5,11,45.5,3,3,100,2,3,5,8,0,0,4,0,39
32,1/13/19,W,37,48,17,32,53.1,11,19,57.9,3,3,100,3,3,6,5,1,2,0,5,9
33,1/15/19,W,30,31,10,18,55.6,8,13,61.5,3,3,100,1,5,6,4,0,0,3,2,25
34,1/16/19,W,35,41,11,22,50,9,17,52.9,10,10,100,1,4,5,3,1,0,2,3,20
35,1/18/19,W,33,28,10,19,52.6,3,11,27.3,5,5,100,0,5,5,4,1,1,1,2,9
36,1/21/19,W,30,11,3,12,25,2,10,20,3,3,100,1,4,5,12,1,0,0,3,27
37,1/24/19,W,35,38,14,24,58.3,2,8,25,8,8,100,0,4,4,3,0,1,3,2,13
38,1/26/19,W,38,24,7,15,46.7,6,12,50,4,4,100,0,3,3,3,0,0,1,2,4
39,1/28/19,W,27,26,10,13,76.9,6,8,75,0,0,0,1,5,6,3,2,0,3,4,10
40,1/31/19,L,38,41,14,27,51.9,10,18,55.6,3,4,75,1,3,4,6,1,0,6,1,-6
41,2/2/19,W,33,14,5,15,33.3,2,9,22.2,2,3,66.7,0,4,4,2,0,0,2,2,13
42,2/6/19,W,29,19,7,12,58.3,3,5,60,2,3,66.7,1,4,5,7,2,1,3,2,26
43,2/8/19,W,36,20,6,17,35.3,3,11,27.3,5,6,83.3,0,7,7,7,1,1,2,5,13
44,2/10/19,W,36,25,9,18,50,5,10,50,2,2,100,1,3,4,2,2,0,2,2,-9
45,2/12/19,W,36,24,8,19,42.1,5,14,35.7,3,3,100,0,5,5,4,4,2,2,3,5
46,2/13/19,L,33,32,10,24,41.7,5,14,35.7,7,7,100,1,6,7,2,0,0,1,2,-10
47,2/21/19,W,36,36,12,23,52.2,10,16,62.5,2,2,100,0,6,6,7,2,0,3,1,6
48,2/23/19,L,36,25,9,18,50,5,11,45.5,2,2,100,0,9,9,7,1,1,3,3,-1
49,2/25/19,W,35,16,5,18,27.8,4,14,28.6,2,3,66.7,0,5,5,6,4,0,4,1,-4
50,2/27/19,L,34,24,9,20,45,4,14,28.6,2,3,66.7,1,5,6,4,0,0,3,1,5
51,2/28/19,L,37,33,12,33,36.4,5,17,29.4,4,4,100,1,7,8,6,0,0,3,1,1
52,3/2/19,W,36,28,10,23,43.5,5,15,33.3,3,3,100,1,3,4,2,4,0,2,4,2
